area_type,availability,location,size,society,total_sqft,bath,balcony,price
Built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1683,3.0,2.0,82.89
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1170,2.0,0.0,45.1
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1826,3.0,3.0,109.56
Built-up  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1717,3.0,3.0,96.53
Super built-up  Area,Ready To Move,Hebbal,4 BHK,GrnSpce,2293,4.0,3.0,207.82
Built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1111,2.0,3.0,102.13
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1122,3.0,0.0,44.88
Super built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1554,3.0,2.0,114.51
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1553,3.0,1.0,87.96
Built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,975,3.0,0.0,62.73
Built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1099,3.0,2.0,81.39
Super built-up  Area,Ready To Move,Whitefield,1 BHK,GrnSpce,643,1.0,3.0,48.21
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,970,2.0,3.0,61.93
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,962,2.0,3.0,69.31
Plot  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1685,4.0,1.0,175.65
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,965,2.0,3.0,123.7
Built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1279,2.0,3.0,102.16
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1738,4.0,1.0,217.61
Super built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,517,2.0,1.0,76.83
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1161,2.0,2.0,47.18
Plot  Area,Ready To Move,Rajaji Nagar,1 BHK,GrnSpce,510,1.0,0.0,63.26
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,916,2.0,1.0,47.65
Carpet  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1005,2.0,3.0,63.34
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1637,3.0,2.0,262.77
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1915,3.0,1.0,201.98
Plot  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1480,3.0,3.0,115.0
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1282,2.0,2.0,70.31
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1191,3.0,3.0,86.2
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1241,3.0,1.0,119.5
Built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1145,2.0,1.0,76.32
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1450,3.0,1.0,172.15
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1281,2.0,0.0,101.96
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1143,2.0,0.0,76.1
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1424,3.0,1.0,204.42
Built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1186,2.0,2.0,52.95
Built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1190,2.0,3.0,44.84
Plot  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,929,2.0,0.0,34.26
Plot  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1924,3.0,0.0,215.51
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1674,3.0,1.0,133.07
Built-up  Area,Ready To Move,Malleshwaram,4 BHK,GrnSpce,2729,4.0,3.0,300.49
Super built-up  Area,Ready To Move,Yelahanka,2 BHK,GrnSpce,1184,2.0,2.0,65.66
Built-up  Area,Ready To Move,Malleshwaram,4 BHK,GrnSpce,2788,4.0,1.0,283.7
Super built-up  Area,Ready To Move,Malleshwaram,1 BHK,GrnSpce,717,1.0,1.0,77.27
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1229,3.0,0.0,80.28
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1147,2.0,1.0,74.8
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1287,2.0,0.0,99.39
Super built-up  Area,Ready To Move,Yelahanka,5 BHK,GrnSpce,3736,5.0,0.0,229.51
Built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1235,3.0,3.0,60.56
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,739,1.0,0.0,73.95
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1265,3.0,0.0,62.11
Super built-up  Area,Ready To Move,Thanisandra,4 BHK,GrnSpce,2274,4.0,1.0,139.39
Super built-up  Area,Ready To Move,Bannerghatta Road,3 BHK,GrnSpce,1776,4.0,1.0,116.18
Carpet  Area,Ready To Move,Bellandur,1 BHK,GrnSpce,509,1.0,2.0,43.33
Built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,960,2.0,0.0,125.41
Plot  Area,Ready To Move,Rajaji Nagar,4 BHK,GrnSpce,2425,4.0,2.0,262.47
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,975,2.0,3.0,155.86
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1172,2.0,1.0,49.54
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1693,3.0,1.0,166.98
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1614,3.0,2.0,133.32
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1115,2.0,2.0,76.57
Built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1094,2.0,2.0,51.88
Built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1250,2.0,3.0,61.46
Built-up  Area,Ready To Move,Kaggadasapura,1 BHK,GrnSpce,648,2.0,0.0,32.79
Carpet  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,1207,2.0,3.0,137.95
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,933,2.0,3.0,89.79
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1078,2.0,3.0,102.39
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1429,3.0,0.0,95.24
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1205,2.0,3.0,84.89
Built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1777,3.0,2.0,241.45
Carpet  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,979,2.0,2.0,50.58
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,904,2.0,3.0,48.15
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1176,3.0,2.0,45.06
Plot  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,954,2.0,1.0,64.34
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1100,2.0,2.0,70.76
Plot  Area,Ready To Move,Electronic City,4 BHK,GrnSpce,2902,4.0,1.0,138.29
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,916,2.0,2.0,69.71
Carpet  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,938,2.0,0.0,33.11
Super built-up  Area,Ready To Move,Yelahanka,1 BHK,GrnSpce,700,2.0,0.0,37.21
Plot  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1167,2.0,2.0,160.34
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1508,3.0,0.0,166.79
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1279,2.0,2.0,107.6
Super built-up  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1827,4.0,1.0,73.41
Carpet  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1292,2.0,1.0,55.92
Built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1403,3.0,1.0,96.18
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1178,2.0,2.0,137.04
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1250,2.0,0.0,89.71
Carpet  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1849,3.0,3.0,122.98
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1151,2.0,2.0,83.04
Built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1444,3.0,1.0,82.15
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1914,3.0,3.0,276.04
Built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1075,2.0,0.0,99.8
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1110,2.0,1.0,101.96
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,523,1.0,0.0,44.8
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1195,2.0,3.0,47.17
Plot  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1819,3.0,0.0,235.83
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,921,2.0,2.0,126.76
Plot  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,968,2.0,3.0,67.21
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1027,2.0,3.0,90.85
Plot  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1226,2.0,1.0,81.16
Super built-up  Area,Ready To Move,Sarjapur Road,1 BHK,GrnSpce,736,1.0,2.0,41.72
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1295,2.0,1.0,86.23
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,988,3.0,3.0,61.41
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1688,3.0,3.0,94.95
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,722,2.0,2.0,31.44
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,986,2.0,1.0,56.41
Plot  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1713,3.0,2.0,127.89
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1125,2.0,1.0,69.42
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1578,3.0,0.0,71.11
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1496,3.0,2.0,92.74
Plot  Area,Ready To Move,Electronic City,1 BHK,GrnSpce,622,2.0,1.0,24.09
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1180,2.0,0.0,80.73
Built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1980,3.0,3.0,102.42
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1013,3.0,1.0,46.78
Plot  Area,Ready To Move,Kanakapura Road,4 BHK,GrnSpce,2417,5.0,0.0,112.86
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1983,3.0,1.0,313.35
Super built-up  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1924,4.0,2.0,84.56
Built-up  Area,Ready To Move,Rajaji Nagar,1 BHK,GrnSpce,589,1.0,1.0,64.58
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1219,2.0,2.0,118.98
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,GrnSpce,2447,5.0,3.0,134.17
Built-up  Area,Ready To Move,Bellandur,3 BHK,GrnSpce,1991,3.0,1.0,137.96
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,1131,2.0,2.0,159.48
Carpet  Area,Ready To Move,Koramangala,5 BHK,GrnSpce,4010,5.0,0.0,483.68
Plot  Area,Ready To Move,Indiranagar,1 BHK,GrnSpce,719,1.0,2.0,116.34
Plot  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1936,3.0,1.0,126.28
Super built-up  Area,Ready To Move,Whitefield,1 BHK,GrnSpce,681,1.0,0.0,52.35
Plot  Area,Ready To Move,Electronic City,1 BHK,GrnSpce,703,1.0,1.0,26.43
Carpet  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1608,3.0,0.0,79.64
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1115,2.0,2.0,70.87
Built-up  Area,Ready To Move,Malleshwaram,1 BHK,GrnSpce,701,1.0,3.0,84.15
Plot  Area,Ready To Move,KR Puram,3 BHK,GrnSpce,1670,3.0,2.0,97.05
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1698,3.0,3.0,192.17
Built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1401,3.0,2.0,75.67
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1063,2.0,0.0,66.52
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1116,2.0,0.0,62.55
Plot  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1508,3.0,1.0,61.68
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1958,3.0,2.0,97.58
Carpet  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1878,3.0,0.0,99.97
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,901,2.0,2.0,65.59
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1539,4.0,3.0,56.18
Super built-up  Area,Ready To Move,Yelahanka,3 BHK,GrnSpce,1570,4.0,1.0,85.85
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,999,2.0,3.0,134.65
Plot  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1556,3.0,3.0,66.05
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1630,3.0,3.0,148.24
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1154,2.0,1.0,101.36
Built-up  Area,Ready To Move,KR Puram,5 BHK,GrnSpce,4386,5.0,3.0,224.17
Carpet  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1956,3.0,0.0,236.55
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,928,2.0,3.0,62.04
Built-up  Area,Ready To Move,Electronic City,5 BHK,GrnSpce,4664,5.0,0.0,234.34
Built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1571,3.0,0.0,104.25
Plot  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1199,2.0,1.0,43.24
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,970,2.0,1.0,114.06
Plot  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1097,3.0,0.0,64.05
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1922,3.0,1.0,81.52
Super built-up  Area,Ready To Move,Marathahalli,1 BHK,GrnSpce,686,1.0,0.0,55.19
Plot  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1728,3.0,3.0,210.92
Plot  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1951,3.0,2.0,204.86
Plot  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1087,2.0,2.0,44.62
Super built-up  Area,Ready To Move,Bellandur,5 BHK,GrnSpce,4023,5.0,3.0,353.81
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1532,4.0,1.0,162.39
Super built-up  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1181,2.0,1.0,79.4
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1285,2.0,0.0,93.6
Built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1585,3.0,1.0,103.57
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1177,3.0,1.0,67.57
Super built-up  Area,Ready To Move,Indiranagar,2 BHK,GrnSpce,1150,2.0,2.0,176.03
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1085,3.0,2.0,59.57
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1222,2.0,2.0,52.29
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1020,2.0,2.0,71.36
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1072,2.0,0.0,46.02
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1073,3.0,1.0,72.52
Plot  Area,Ready To Move,HSR Layout,4 BHK,GrnSpce,2391,4.0,0.0,263.41
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,930,2.0,1.0,38.81
Plot  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1722,3.0,0.0,238.77
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1220,2.0,0.0,51.62
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1278,3.0,2.0,151.39
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,1147,3.0,1.0,62.59
Carpet  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1115,2.0,1.0,128.79
Plot  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1430,3.0,3.0,73.57
Carpet  Area,Ready To Move,Sarjapur Road,1 BHK,GrnSpce,632,1.0,1.0,41.16
Super built-up  Area,Ready To Move,Kaggadasapura,2 BHK,GrnSpce,924,2.0,1.0,55.7
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1959,3.0,0.0,127.58
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1604,3.0,1.0,73.22
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1611,3.0,1.0,111.45
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,938,2.0,1.0,37.04
Built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1906,3.0,0.0,130.65
Super built-up  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1107,2.0,1.0,88.6
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,915,2.0,2.0,58.91
Super built-up  Area,Ready To Move,Bisuvanahalli,2 BHK,GrnSpce,1188,3.0,2.0,50.59
Built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1988,3.0,3.0,103.58
Built-up  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,660,1.0,0.0,90.28
Plot  Area,Ready To Move,Kanakapura Road,3 BHK,GrnSpce,1601,3.0,3.0,95.22
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1121,2.0,0.0,135.18
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1127,2.0,2.0,108.88
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,965,2.0,0.0,63.15
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1500,3.0,0.0,73.48
Plot  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1905,3.0,0.0,82.8
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1155,2.0,3.0,125.52
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1687,3.0,2.0,235.86
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,952,2.0,2.0,70.33
Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,GrnSpce,4498,6.0,3.0,418.4
Super built-up  Area,Ready To Move,Rajaji Nagar,2 BHK,GrnSpce,1006,2.0,1.0,116.77
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1565,3.0,1.0,78.64
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1173,3.0,0.0,55.59
Super built-up  Area,Ready To Move,Bisuvanahalli,1 BHK,GrnSpce,726,1.0,0.0,30.55
Plot  Area,Ready To Move,Thanisandra,1 BHK,GrnSpce,524,1.0,2.0,29.31
Super built-up  Area,Ready To Move,Rajaji Nagar,5 BHK,GrnSpce,3871,5.0,0.0,398.58
Super built-up  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,614,1.0,0.0,47.86
Super built-up  Area,Ready To Move,Bisuvanahalli,1 BHK,GrnSpce,580,1.0,3.0,23.3
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1798,3.0,1.0,131.56
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1057,2.0,1.0,53.7
Super built-up  Area,Ready To Move,Kanakapura Road,2 BHK,GrnSpce,1179,2.0,3.0,72.58
Super built-up  Area,Ready To Move,Marathahalli,4 BHK,GrnSpce,2223,4.0,1.0,160.72
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1869,3.0,1.0,121.07
Super built-up  Area,Ready To Move,Kaggadasapura,4 BHK,GrnSpce,2405,4.0,1.0,117.94
Super built-up  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1660,3.0,3.0,229.52
Plot  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1181,2.0,2.0,55.17
Super built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,952,2.0,1.0,56.4
Super built-up  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,506,1.0,0.0,42.25
Plot  Area,Ready To Move,Bellandur,2 BHK,GrnSpce,1279,3.0,3.0,95.9
Super built-up  Area,Ready To Move,Sarjapur Road,2 BHK,GrnSpce,1265,2.0,2.0,88.18
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1989,3.0,1.0,77.99
Plot  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1473,3.0,2.0,70.28
Super built-up  Area,Ready To Move,Bellandur,5 BHK,GrnSpce,4545,6.0,2.0,266.18
Built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1209,3.0,3.0,74.39
Super built-up  Area,Ready To Move,Electronic City,4 BHK,GrnSpce,2913,4.0,0.0,142.63
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,905,2.0,2.0,64.55
Super built-up  Area,Ready To Move,Whitefield,3 BHK,GrnSpce,1968,3.0,3.0,131.47
Plot  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1209,2.0,2.0,72.3
Plot  Area,Ready To Move,Koramangala,1 BHK,GrnSpce,734,1.0,2.0,96.75
Built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1247,2.0,2.0,175.74
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1408,3.0,1.0,52.41
Super built-up  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1596,3.0,0.0,77.25
Plot  Area,Ready To Move,Whitefield,1 BHK,GrnSpce,509,1.0,3.0,34.44
Super built-up  Area,Ready To Move,Bannerghatta Road,2 BHK,GrnSpce,1076,2.0,0.0,73.76
Built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1287,2.0,1.0,104.63
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,1257,2.0,2.0,146.14
Super built-up  Area,Ready To Move,Rajaji Nagar,3 BHK,GrnSpce,1502,3.0,3.0,193.94
Plot  Area,Ready To Move,Thanisandra,4 BHK,GrnSpce,2656,5.0,3.0,175.65
Plot  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1540,4.0,1.0,130.08
Plot  Area,Ready To Move,Bisuvanahalli,3 BHK,GrnSpce,1862,3.0,2.0,65.44
Built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,1008,2.0,0.0,142.29
Built-up  Area,Ready To Move,KR Puram,1 BHK,GrnSpce,655,1.0,0.0,36.17
Built-up  Area,Ready To Move,Thanisandra,3 BHK,GrnSpce,1948,3.0,0.0,137.23
Super built-up  Area,Ready To Move,Marathahalli,2 BHK,GrnSpce,1236,2.0,1.0,66.61
Built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1013,2.0,1.0,101.08
Plot  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1565,3.0,3.0,62.56
Super built-up  Area,Ready To Move,Malleshwaram,2 BHK,GrnSpce,972,2.0,2.0,108.26
Super built-up  Area,Ready To Move,KR Puram,2 BHK,GrnSpce,1123,3.0,1.0,59.25
Super built-up  Area,Ready To Move,Electronic City,2 BHK,GrnSpce,1109,2.0,1.0,48.26
Super built-up  Area,Ready To Move,Kaggadasapura,3 BHK,GrnSpce,1900,4.0,3.0,102.1
Plot  Area,Ready To Move,Bannerghatta Road,4 BHK,GrnSpce,2245,5.0,1.0,164.92
Super built-up  Area,Ready To Move,Marathahalli,3 BHK,GrnSpce,1692,3.0,2.0,120.72
Super built-up  Area,Ready To Move,Malleshwaram,3 BHK,GrnSpce,1717,4.0,0.0,206.89
Built-up  Area,Ready To Move,Thanisandra,1 BHK,GrnSpce,665,1.0,2.0,44.14
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1618,3.0,3.0,108.87
Plot  Area,Ready To Move,Uttarahalli,3 BHK,GrnSpce,1666,3.0,1.0,81.95
Super built-up  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1603,3.0,3.0,72.7
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1482,3.0,3.0,63.36
Super built-up  Area,Ready To Move,Uttarahalli,2 BHK,GrnSpce,1265,2.0,2.0,50.07
Super built-up  Area,Ready To Move,Uttarahalli,4 BHK,GrnSpce,2510,4.0,3.0,112.64
Super built-up  Area,Ready To Move,Rajaji Nagar,1 BHK,GrnSpce,727,1.0,3.0,88.71
Plot  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1743,3.0,2.0,256.72
Plot  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1474,3.0,0.0,215.15
Plot  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,976,2.0,3.0,85.05
Built-up  Area,Ready To Move,Thanisandra,2 BHK,GrnSpce,1196,3.0,1.0,77.47
Super built-up  Area,Ready To Move,Kanakapura Road,1 BHK,GrnSpce,710,1.0,2.0,44.25
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1564,4.0,0.0,69.44
Plot  Area,Ready To Move,Thanisandra,4 BHK,GrnSpce,2826,4.0,0.0,189.21
Plot  Area,Ready To Move,Whitefield,2 BHK,GrnSpce,1094,2.0,3.0,70.07
Super built-up  Area,Ready To Move,Koramangala,2 BHK,GrnSpce,992,2.0,1.0,142.34
Plot  Area,Ready To Move,Electronic City,3 BHK,GrnSpce,1405,3.0,3.0,60.97
Plot  Area,Ready To Move,Indiranagar,3 BHK,GrnSpce,1867,3.0,1.0,228.51
Super built-up  Area,Ready To Move,Koramangala,3 BHK,GrnSpce,1812,4.0,3.0,240.19
Super built-up  Area,Ready To Move,Sarjapur Road,3 BHK,GrnSpce,1997,4.0,2.0,133.11
Super built-up  Area,Ready To Move,Indiranagar,1 BHK,GrnSpce,620,1.0,2.0,81.4
