area_type,availability,location,size,society,total_sqft,bath,balcony,price,bhk,price_per_sqft
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1573.0,3.0,3.0,67.99,3,4322.3140495867765
Plot  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1631.0,4.0,0.0,68.87,3,4222.562844880442
Super built-up  Area,Ready To Move,Electronic City Phase II,4 BHK,GrnSpce,3143.0,4.0,0.0,146.51,4,4661.469933184855
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1584.0,3.0,3.0,66.72,3,4212.121212121212
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1907.0,3.0,3.0,74.75,3,3919.76927110645
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1964.0,4.0,2.0,90.84,3,4625.254582484725
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,972.0,3.0,3.0,43.33,2,4457.818930041152
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1699.0,4.0,2.0,69.82,3,4109.476162448498
Carpet  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1145.0,2.0,0.0,50.32,2,4394.759825327511
Plot  Area,Ready To Move,Electronic City Phase II,1 BHK,GrnSpce,671.0,1.0,2.0,30.92,1,4608.047690014903
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1711.0,3.0,1.0,78.89,3,4610.753945061368
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1178.0,2.0,2.0,51.99,2,4413.4125636672325
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1824.0,4.0,2.0,81.38,3,4461.622807017544
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1542.0,3.0,1.0,68.23,3,4424.773022049287
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1764.0,3.0,3.0,80.27,3,4550.453514739229
Plot  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1914.0,3.0,2.0,85.85,3,4485.370950888192
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1218.0,2.0,2.0,53.81,2,4417.898193760263
Super built-up  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1000.0,2.0,2.0,46.37,2,4637.0
Super built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1642.0,4.0,3.0,66.39,3,4043.239951278928
Plot  Area,Ready To Move,Electronic City Phase II,2 BHK,GrnSpce,1203.0,2.0,0.0,53.46,2,4443.890274314214
Built-up  Area,Ready To Move,Electronic City Phase II,3 BHK,GrnSpce,1814.0,3.0,1.0,80.08,3,4414.553472987872
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1100.0,2.0,2.0,117.46,2,10678.181818181818
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1807.0,4.0,0.0,181.13,3,10023.796347537354
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1174.0,2.0,2.0,108.1,2,9207.836456558773
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,994.0,2.0,3.0,105.25,2,10588.531187122737
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,912.0,2.0,1.0,85.89,2,9417.763157894737
Built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,906.0,2.0,3.0,81.99,2,9049.668874172185
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1401.0,4.0,0.0,139.78,3,9977.159172019985
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,592.0,1.0,1.0,55.93,1,9447.635135135135
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1773.0,3.0,3.0,192.04,3,10831.359278059786
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1868.0,3.0,0.0,179.03,3,9584.04710920771
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1249.0,2.0,0.0,118.31,2,9472.377902321858
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,990.0,3.0,3.0,90.64,2,9155.555555555555
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1514.0,3.0,2.0,159.74,3,10550.858652575958
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1844.0,3.0,1.0,166.18,3,9011.930585683298
Carpet  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,642.0,1.0,2.0,57.29,1,8923.67601246106
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,921.0,3.0,0.0,93.91,2,10196.525515743757
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1588.0,3.0,0.0,152.97,3,9632.87153652393
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1507.0,3.0,3.0,148.62,3,9861.977438619775
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1297.0,3.0,3.0,134.58,2,10376.252891287588
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,951.0,3.0,3.0,87.47,2,9197.686645636173
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1022.0,2.0,2.0,107.86,2,10553.816046966733
Built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1614.0,3.0,3.0,172.98,3,10717.472118959107
Built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1592.0,3.0,1.0,155.38,3,9760.050251256282
Built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1111.0,2.0,3.0,102.13,2,9192.619261926193
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1915.0,3.0,1.0,201.98,3,10547.258485639686
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,739.0,1.0,0.0,73.95,1,10006.765899864682
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1693.0,3.0,1.0,166.98,3,9862.965150620199
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1078.0,2.0,3.0,102.39,2,9498.144712430427
Built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1075.0,2.0,0.0,99.8,2,9283.720930232557
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1110.0,2.0,1.0,101.96,2,9185.585585585586
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1532.0,4.0,1.0,162.39,3,10599.869451697126
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1155.0,2.0,3.0,125.52,2,10867.532467532468
Built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1013.0,2.0,1.0,101.08,2,9978.282329713722
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1652.0,3.0,3.0,155.2,3,9394.673123486682
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1148.0,2.0,3.0,116.06,2,10109.756097560976
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,959.0,3.0,1.0,91.96,2,9589.155370177268
Built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1814.0,3.0,3.0,189.6,3,10452.039691289967
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1691.0,3.0,2.0,150.28,3,8887.049083382613
Built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1148.0,3.0,3.0,107.35,2,9351.045296167247
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,928.0,3.0,3.0,87.89,2,9470.905172413793
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1245.0,2.0,1.0,122.95,2,9875.502008032128
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,536.0,1.0,1.0,50.41,1,9404.850746268658
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,556.0,1.0,0.0,49.6,1,8920.863309352519
Plot  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,520.0,1.0,3.0,50.67,1,9744.23076923077
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1798.0,3.0,1.0,179.37,3,9976.084538375973
Built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1203.0,2.0,2.0,113.86,2,9464.671654197839
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1940.0,3.0,0.0,172.88,3,8911.340206185567
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1901.0,3.0,1.0,204.73,3,10769.594950026301
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1896.0,3.0,3.0,198.93,3,10492.088607594937
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1095.0,2.0,0.0,107.42,2,9810.045662100456
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1978.0,3.0,0.0,199.1,3,10065.72295247725
Carpet  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1281.0,2.0,1.0,130.65,2,10199.063231850118
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1427.0,3.0,0.0,135.62,3,9503.85423966363
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1120.0,2.0,1.0,115.16,2,10282.142857142857
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1938.0,3.0,3.0,175.86,3,9074.303405572755
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1863.0,3.0,0.0,194.07,3,10417.0692431562
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1545.0,4.0,2.0,155.01,3,10033.009708737864
Plot  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,722.0,2.0,2.0,71.44,1,9894.736842105263
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1504.0,4.0,3.0,151.2,3,10053.191489361701
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,590.0,1.0,2.0,56.86,1,9637.28813559322
Plot  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,723.0,2.0,1.0,67.63,1,9354.080221300139
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,677.0,1.0,3.0,64.47,1,9522.895125553914
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1151.0,2.0,3.0,103.76,2,9014.769765421373
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1749.0,4.0,0.0,173.39,3,9913.6649514008
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1484.0,3.0,3.0,140.71,3,9481.805929919137
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,500.0,1.0,1.0,46.3,1,9260.0
Plot  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,542.0,1.0,3.0,55.15,1,10175.276752767528
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1804.0,4.0,2.0,169.95,3,9420.731707317073
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1066.0,2.0,2.0,108.61,2,10188.555347091933
Built-up  Area,Ready To Move,HSR Layout,4 BHK,GrnSpce,2568.0,4.0,0.0,235.01,4,9151.479750778817
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1298.0,3.0,3.0,116.47,2,8973.035439137135
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,518.0,1.0,1.0,52.53,1,10140.92664092664
Built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,998.0,3.0,1.0,97.84,2,9803.607214428857
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1598.0,3.0,2.0,157.72,3,9869.837296620775
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1127.0,2.0,0.0,108.86,2,9659.27240461402
Super built-up  Area,Ready To Move,HSR Layout,4 BHK,GrnSpce,2591.0,4.0,3.0,233.59,4,9015.438054805094
Carpet  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1908.0,3.0,2.0,206.97,3,10847.48427672956
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1620.0,3.0,0.0,172.69,3,10659.876543209877
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1989.0,3.0,2.0,203.77,3,10244.846656611362
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,958.0,3.0,1.0,94.39,2,9852.818371607516
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,970.0,2.0,2.0,96.26,2,9923.711340206186
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1884.0,3.0,0.0,188.32,3,9995.753715498939
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1131.0,2.0,3.0,113.22,2,10010.610079575597
Built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1560.0,4.0,3.0,142.05,3,9105.769230769232
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,509.0,1.0,0.0,54.79,1,10764.243614931238
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1205.0,2.0,2.0,119.01,2,9876.348547717842
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1111.0,2.0,1.0,112.11,2,10090.90909090909
Plot  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,641.0,1.0,2.0,65.82,1,10268.330733229328
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1845.0,3.0,1.0,173.74,3,9416.80216802168
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1200.0,2.0,1.0,110.7,2,9225.0
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,595.0,2.0,0.0,59.17,1,9944.53781512605
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1922.0,4.0,1.0,189.17,3,9842.351716961499
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1765.0,3.0,0.0,182.39,3,10333.71104815864
Super built-up  Area,Ready To Move,HSR Layout,4 BHK,GrnSpce,3129.0,4.0,0.0,291.07,4,9302.33301374241
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1879.0,3.0,0.0,188.17,3,10014.369345396488
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,593.0,1.0,0.0,57.09,1,9627.318718381113
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1105.0,2.0,1.0,104.88,2,9491.402714932126
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1626.0,3.0,3.0,168.96,3,10391.143911439114
Super built-up  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,509.0,1.0,2.0,48.79,1,9585.461689587426
Plot  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1508.0,3.0,0.0,151.91,3,10073.607427055704
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1206.0,2.0,2.0,119.6,2,9917.081260364843
Plot  Area,Ready To Move,HSR Layout,1 BHK,GrnSpce,737.0,1.0,0.0,73.94,1,10032.564450474898
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,902.0,3.0,2.0,97.32,2,10789.356984478936
Super built-up  Area,Ready To Move,HSR Layout,3 BHK,GrnSpce,1987.0,3.0,0.0,180.65,3,9091.595369904378
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1027.0,2.0,1.0,110.9,2,10798.44206426485
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1043.0,2.0,0.0,96.9,2,9290.508149568552
Plot  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,980.0,3.0,1.0,106.32,2,10848.979591836734
Plot  Area,Ready To Move,HSR Layout,4 BHK,GrnSpce,2701.0,4.0,3.0,265.85,4,9842.650870048132
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1101.0,2.0,1.0,108.33,2,9839.23705722071
Super built-up  Area,Ready To Move,HSR Layout,2 BHK,GrnSpce,1231.0,3.0,3.0,122.72,2,9969.130787977254
Plot  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1157.0,2.0,0.0,96.04,2,8300.777873811581
Plot  Area,Ready To Move,Hebbal,4 BHK,GrnSpce,2854.0,4.0,0.0,235.34,4,8245.970567624387
Super built-up  Area,Ready To Move,Hebbal,4 BHK,GrnSpce,2285.0,4.0,2.0,199.92,4,8749.234135667397
Plot  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1903.0,3.0,0.0,148.76,3,7817.13084603258
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1126.0,2.0,3.0,95.51,2,8482.238010657193
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,933.0,2.0,3.0,73.13,2,7838.156484458736
Plot  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1054.0,3.0,2.0,82.31,2,7809.297912713472
Built-up  Area,Ready To Move,Hebbal,5 BHK,GrnSpce,3574.0,6.0,3.0,278.55,5,7793.788472299944
Plot  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1695.0,3.0,2.0,155.95,3,9200.589970501474
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1551.0,3.0,3.0,144.39,3,9309.477756286266
Built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1056.0,2.0,2.0,94.72,2,8969.69696969697
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1249.0,2.0,3.0,98.55,2,7890.31224979984
Super built-up  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,606.0,1.0,1.0,55.19,1,9107.260726072607
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1026.0,2.0,1.0,94.07,2,9168.615984405458
Built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1188.0,2.0,1.0,90.72,2,7636.363636363636
Super built-up  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,583.0,1.0,0.0,49.63,1,8512.864493996569
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1625.0,3.0,0.0,147.48,3,9075.692307692307
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1848.0,3.0,3.0,165.05,3,8931.277056277057
Plot  Area,Ready To Move,Hebbal,4 BHK,GrnSpce,3096.0,4.0,2.0,282.17,4,9114.018087855296
Super built-up  Area,Ready To Move,Hebbal,5 BHK,GrnSpce,4973.0,5.0,2.0,388.11,5,7804.343454655138
Built-up  Area,Ready To Move,Hebbal,4 BHK,GrnSpce,2871.0,5.0,0.0,227.69,4,7930.686172065482
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1093.0,2.0,0.0,93.41,2,8546.203110704482
Built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1288.0,2.0,2.0,111.96,2,8692.546583850932
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1021.0,2.0,1.0,95.55,2,9358.47208619001
Plot  Area,Ready To Move,Hebbal,4 BHK,GrnSpce,2798.0,4.0,1.0,257.03,4,9186.204431736953
Super built-up  Area,Ready To Move,Hebbal,4 BHK,GrnSpce,2293.0,4.0,3.0,207.82,4,9063.235935455736
Plot  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1480.0,3.0,3.0,115.0,3,7770.27027027027
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1674.0,3.0,1.0,133.07,3,7949.223416965352
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1614.0,3.0,2.0,133.32,3,8260.223048327138
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1630.0,3.0,3.0,148.24,3,9094.478527607362
Super built-up  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,614.0,1.0,0.0,47.86,1,7794.788273615635
Super built-up  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,506.0,1.0,0.0,42.25,1,8349.802371541502
Plot  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1540.0,4.0,1.0,130.08,3,8446.753246753247
Plot  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,976.0,2.0,3.0,85.05,2,8714.139344262296
Plot  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1213.0,2.0,1.0,102.32,2,8435.284418796373
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1028.0,2.0,1.0,82.85,2,8059.338521400778
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,960.0,2.0,3.0,80.33,2,8367.708333333334
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,920.0,2.0,0.0,84.41,2,9175.0
Plot  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1892.0,3.0,0.0,164.5,3,8694.503171247357
Built-up  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,566.0,1.0,1.0,48.89,1,8637.809187279152
Super built-up  Area,Ready To Move,Hebbal,4 BHK,GrnSpce,2535.0,4.0,1.0,219.27,4,8649.704142011835
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1469.0,4.0,0.0,130.24,3,8865.895166780123
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1537.0,3.0,2.0,127.71,3,8309.04359141184
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1080.0,2.0,2.0,96.48,2,8933.333333333334
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1797.0,3.0,3.0,145.06,3,8072.342793544797
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1165.0,2.0,3.0,97.3,2,8351.931330472104
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,923.0,2.0,2.0,86.38,2,9358.613217768147
Built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1653.0,4.0,1.0,132.38,3,8008.469449485783
Plot  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1477.0,3.0,2.0,119.67,3,8102.234258632363
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1125.0,2.0,0.0,104.03,2,9247.111111111111
Super built-up  Area,Ready To Move,Hebbal,5 BHK,GrnSpce,4374.0,6.0,3.0,370.13,5,8462.048468221308
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1498.0,3.0,2.0,114.31,3,7630.841121495327
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1543.0,3.0,1.0,123.9,3,8029.812054439404
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1158.0,2.0,1.0,90.74,2,7835.924006908463
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1284.0,3.0,1.0,107.61,2,8380.841121495327
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,965.0,2.0,1.0,80.96,2,8389.637305699482
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1095.0,2.0,2.0,98.13,2,8961.643835616438
Built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1864.0,4.0,3.0,155.73,3,8354.613733905579
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,958.0,2.0,1.0,88.87,2,9276.617954070982
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,968.0,2.0,0.0,74.68,2,7714.8760330578525
Built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1653.0,3.0,2.0,146.58,3,8867.513611615246
Built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,983.0,2.0,3.0,81.35,2,8275.686673448627
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,955.0,2.0,2.0,78.45,2,8214.659685863875
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,948.0,2.0,2.0,83.46,2,8803.797468354429
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1251.0,2.0,0.0,101.79,2,8136.690647482014
Built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1656.0,3.0,1.0,143.25,3,8650.36231884058
Built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1983.0,3.0,3.0,173.07,3,8727.68532526475
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1110.0,2.0,1.0,102.31,2,9217.117117117117
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1106.0,3.0,0.0,90.19,2,8154.611211573237
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1406.0,3.0,3.0,117.76,3,8375.533428165007
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,940.0,2.0,2.0,88.05,2,9367.021276595744
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1230.0,2.0,1.0,98.27,2,7989.430894308943
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,908.0,2.0,2.0,81.2,2,8942.73127753304
Built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1068.0,2.0,3.0,94.37,2,8836.142322097377
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1128.0,3.0,2.0,103.85,2,9206.560283687943
Super built-up  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,664.0,1.0,2.0,59.15,1,8908.132530120482
Built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1606.0,4.0,2.0,133.34,3,8302.615193026151
Super built-up  Area,Ready To Move,Hebbal,4 BHK,GrnSpce,3077.0,4.0,2.0,273.8,4,8898.277543061424
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1208.0,2.0,3.0,108.28,2,8963.576158940397
Built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1245.0,2.0,3.0,102.34,2,8220.08032128514
Super built-up  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,578.0,2.0,1.0,51.39,1,8891.003460207612
Plot  Area,Ready To Move,Hebbal,1 BHK,GrnSpce,574.0,1.0,0.0,52.47,1,9141.114982578398
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1268.0,2.0,2.0,112.64,2,8883.280757097791
Built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1122.0,2.0,3.0,91.28,2,8135.472370766488
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1981.0,3.0,3.0,171.82,3,8673.397274103987
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1864.0,4.0,3.0,150.14,3,8054.721030042918
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1745.0,3.0,2.0,143.1,3,8200.57306590258
Plot  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1173.0,2.0,1.0,94.67,2,8070.75873827792
Carpet  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1728.0,3.0,3.0,158.79,3,9189.236111111111
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1586.0,3.0,2.0,145.53,3,9175.914249684742
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1437.0,3.0,2.0,128.62,3,8950.591510090466
Super built-up  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1665.0,3.0,1.0,142.68,3,8569.36936936937
Super built-up  Area,Ready To Move,Hebbal,2 BHK,GrnSpce,1087.0,2.0,0.0,99.66,2,9168.353265869366
Plot  Area,Ready To Move,Hebbal,3 BHK,GrnSpce,1539.0,3.0,3.0,142.22,3,9241.065627030539
